region_summ_key,region_mean_temp,region_max_temp,region_min_temp,region_mean_precip,region_mean_snow,mean_snow_grnd_last_day,location_key,date_key
1454,15.43203125,28.016908212560388,5.36231884057971,74.80058823529411,0.0,0.0,5,114
1455,17.642307692307693,30.554326923076925,6.291826923076924,46.48947368421052,0.0,0.0,5,115
1456,12.201492537313433,24.618396226415097,2.145754716981132,105.61882352941177,0.0,0.0,5,116
1457,8.125373134328358,21.425943396226415,-2.8589622641509433,86.15284090909091,0.009411764705882354,0.16176470588235295,5,117
1458,-0.5097014925373134,11.967924528301886,-12.212735849056603,63.43333333333334,14.090697674418605,7.066115702479339,5,118
1459,-8.288805970149253,9.026760563380282,-22.73286384976526,67.0340909090909,36.47586206896552,16.565573770491802,5,119
1460,-18.165671641791043,0.5438679245283019,-33.466981132075475,40.10924855491329,48.21860465116279,36.39316239316239,5,120
1461,-15.214285714285714,3.323222748815166,-30.23175355450237,67.90414201183431,56.23012048192771,49.134453781512605,5,121
1462,-7.542857142857144,9.92142857142857,-26.70952380952381,72.74615384615385,45.33170731707317,42.848214285714285,5,122
1463,0.3068181818181818,13.809090909090909,-9.45023923444976,79.86860465116278,9.520481927710843,7.0,5,123
1464,8.488636363636363,26.8688995215311,-4.2435406698564595,86.5603550295858,0.12098765432098767,0.0,5,124
1465,13.657462686567163,29.08483412322275,2.9786729857819907,110.44152046783626,0.0,0.0,5,125
1466,16.461940298507464,28.90094786729858,5.671090047393364,86.0125748502994,0.0,0.0,5,126
1467,16.594029850746267,29.267619047619046,6.581428571428571,109.23757575757577,0.0,0.0,5,127
1468,11.748507462686566,25.905714285714286,0.6052380952380952,86.26727272727273,0.0,0.0,5,128
1469,7.057777777777777,20.83222748815166,-3.523222748815166,63.54378698224852,0.2948051948051948,0.19696969696969696,5,129
1470,-1.1746268656716419,18.592924528301886,-16.169811320754718,81.93801169590643,28.78875,8.60952380952381,5,130
1471,-5.87910447761194,6.682938388625592,-18.45829383886256,89.88343195266272,51.152499999999996,16.125,5,131
1472,-11.055639097744361,2.307142857142857,-25.954285714285714,62.52926829268292,66.24050632911393,49.483050847457626,5,132
1473,-14.924812030075188,4.743333333333333,-33.15857142857143,46.943209876543214,45.321518987341776,47.40909090909091,5,133
1474,-10.817708333333334,7.1875,-34.13333333333333,12.865,14.41111111111111,13.424242424242424,8,0
1475,-8.926041666666666,5.302083333333333,-28.577083333333334,7.397,7.757407407407407,15.621212121212121,8,1
1476,-1.2739583333333333,16.423958333333335,-21.102083333333333,22.48627450980392,19.367272727272727,9.777777777777779,8,2
1477,3.752127659574468,23.087234042553188,-12.269148936170213,42.25940594059406,9.420754716981133,1.1,8,3
1478,9.77872340425532,26.717021276595744,-2.2191489361702126,82.04950495049505,2.126923076923077,0.0,8,4
