"province","yearmo","month_alpha","year","total_price_index","house_price_index","land_price_index","region_mean_temp","region_max_temp","region_min_temp","region_mean_precip","region_mean_snow","mean_snow_grnd_last_day"
"NL","202010","October","2020",100,100.3,99.9,6.082978723404255,19.125531914893617,-5.517021276595745,100.46388888888887,6.191666666666666,1.4285714285714286
"NL","202009","September","2020",98,97.2,99.9,12.06,23.5,0.3066666666666667,72.83235294117648,0,0
"NL","202008","August","2020",96.9,95.8,99.7,15.952272727272726,28.725,4.927272727272728,110.28181818181818,0,0
"NL","202007","July","2020",96.9,95.7,99.7,14.895454545454545,27.76590909090909,3.6045454545454554,73.53125,0,0
"NL","202006","June","2020",97.2,96,99.9,11.78181818181818,27.656818181818185,0.425,80.54838709677419,0,0
"NL","202005","May","2020",97.2,96,99.9,5.023255813953488,21.05813953488372,-3.1116279069767443,99.59285714285714,17.80909090909091,0.1428571428571428
"NL","202004","April","2020",97.2,96,99.9,-0.2790697674418604,12.474418604651165,-10.904651162790698,54.65161290322581,31.58181818181818,7.684210526315789
"NL","202003","March","2020",97.2,96,99.9,-6.116279069767442,5.906976744186046,-21.188372093023258,101.95483870967742,66.21818181818182,43.43333333333333
"NL","202002","February","2020",97.4,96.3,99.9,-9.274418604651164,3.0627906976744184,-21.820930232558137,64.22058823529412,76.5,54.66666666666666
"NL","202001","January","2020",97.4,96.3,99.9,-9.026666666666667,2.028888888888889,-20.92666666666667,64.59428571428572,65.64166666666667,39.44444444444444
"NL","201912","December","2019",97.4,96.3,99.9,-4.682608695652174,8.26086956521739,-17.10217391304348,98.28,57.5,27.428571428571427
"NL","201911","November","2019",97.4,96.3,99.9,0.7770833333333332,12.86875,-8.2875,148.8846153846154,25.435714285714287,2.176470588235294
"NL","201910","October","2019",97.3,96.3,99.8,6.142553191489362,17.76595744680851,-2.221276595744681,64.85641025641026,0.7071428571428572,0.7142857142857143
"NL","201909","September","2019",97,95.8,99.8,10.31063829787234,21.98936170212766,0.6382978723404256,107.0948717948718,0,0
"NL","201908","August","2019",96.9,95.8,99.7,15.56808510638298,26.75744680851064,4.517021276595745,75.45897435897436,0,0
"NL","201907","July","2019",97.1,95.9,100.1,14.067924528301887,27.13962264150944,4.783018867924528,82.72826086956522,0,0
"NL","201906","June","2019",97.3,96.1,100.1,9.87843137254902,21.91568627450981,0.8686274509803921,92.55490196078432,0,0
"NL","201905","May","2019",97.8,96.9,100.1,4.540384615384616,16.967307692307692,-2.871153846153846,44.67959183673469,2.0666666666666664,0
"NL","201904","April","2019",97.8,96.9,100.1,0.0115384615384615,12.78653846153846,-11.909615384615384,87.62653061224489,33.07142857142857,5.148148148148148
"NL","201903","March","2019",98.1,97.3,100.1,-4.923076923076923,9.692307692307692,-17.584615384615383,53.06666666666666,21.304761904761904,16.466666666666665
"NL","201902","February","2019",98.1,97.3,100.1,-10.819148936170214,1.8340425531914892,-22.731914893617024,68.30227272727274,57.28823529411765,40.26923076923077
"NL","201901","January","2019",98.1,97.3,100.1,-7.960416666666667,6.589583333333334,-21.754166666666663,105.07380952380952,87.5764705882353,27.57692307692308
"NL","201812","December","2018",98.1,97.2,100.1,-5.614285714285715,6.820408163265306,-17.8734693877551,69.8,50.97058823529412,18.03846153846154
"NL","201811","November","2018",98,97.2,100.1,-0.8374999999999999,11.720833333333331,-12.895833333333334,131.6325581395349,57.14117647058824,13.478260869565217
"NL","201810","October","2018",98.4,97.7,100.1,4.457142857142857,15.2265306122449,-4.06530612244898,151.21395348837208,6.517647058823529,1.6428571428571428
"NL","201809","September","2018",98.5,97.9,100.1,10.875555555555556,23.986666666666668,-1.031111111111111,90.30243902439024,0.0555555555555555,0
"NL","201808","August","2018",98.9,98.4,100.1,16.98139534883721,27.893023255813954,6.616279069767442,73.92105263157895,0,0
"NL","201807","July","2018",98.9,98.4,100.1,16.552272727272726,27.71590909090909,5.2250000000000005,83.83333333333333,0,0
"NL","201806","June","2018",98.7,98.3,99.8,8.028571428571428,22.31904761904762,-2.2547619047619047,89.50769230769231,2.933333333333333,0
"NL","201805","May","2018",98.9,98.6,99.8,3.872093023255814,19.348837209302324,-5.190697674418605,96.7051282051282,8.606666666666666,0.2727272727272727
"NL","201804","April","2018",99,98.8,99.8,-0.5536585365853658,15.502439024390243,-13.309756097560976,105.91315789473684,41.09333333333333,20
"NL","201803","March","2018",99,98.8,99.8,-1.5275,7.800000000000001,-14.53,68.75405405405405,40.35,28.24137931034483
"NL","201802","February","2018",99,98.8,99.8,-8.088372093023256,4.959090909090909,-21.1093023255814,84.3575,63.68666666666666,47.37931034482759
"NL","201801","January","2018",99,98.8,99.8,-7.23953488372093,8.845454545454546,-18.427906976744183,107.22439024390243,74.67333333333333,22.806451612903224
"NL","201712","December","2017",99,98.8,99.8,-3.619565217391304,8.206382978723404,-14.32391304347826,94.42790697674418,62.33125,32.28
"NL","201711","November","2017",99,98.8,99.8,1.0152173913043478,12.563829787234043,-9.193478260869565,86.73720930232558,11.6,5.043478260869565
"NL","201710","October","2017",98.9,98.6,99.8,7.452083333333333,19.02857142857143,-3.216326530612245,44.86279069767442,1.125,0
